Course Code,Course Name,Instructor Name
AE 102,Data Analysis and Interpretation ,
AE 103,A historical perspective of Aerospace Engineering ,Chandra S. Yerramalli
AE 152,Introduction to Aerospace Engg. ,Pant R.K.
AE 207,Introduction to Engineering Design ,
AE 209,Solid Mechanics ,
AE 214,Thermodynamics ,
AE 215,Aerospace Mesaurement Laboratory ,
AE 216,Fluid Mechanics ,
AE 220,Aerospace Structural Mechanics ,
AE 223,Thermodynamics and Propulsion ,A.M.Pradeep
AE 225,Incompressible Fluid Mechanics ,
AE 227,Solid Mechanics ,Krishnendu  Haldar
AE 229,Introduction to Aerodynamics and Propulsion Laboratory ,Chandra Sekar  ThyagarajanDhwanil  ShuklaP. RamachandranSudarshan Kumar
AE 230,Modeling and Simulation Laboratory ,
AE 231,Introduction to Aerospace Structures and Control  Laboratory ,Arya HemendraKrishnendu  Haldar
AE 233,Control Systems Laboratory ,
AE 234,Aircraft Propulsion ,Hrishikesh Gadgil
AE 236,Compressible Fluid Mechanics ,Aniruddha Sinha
AE 238,Aerospace Structural Mechanics ,
AE 240,Spaceflight Mechanics ,
AE 242,Aerospace Measurements Laboratory ,
AE 244,Low Speed Aerodynamics ,
AE 246,Aircraft Structures Laboratory ,
AE 248,AI and Data Science ,
AE 305,Flight Mechanics II ,
AE 308,Control Theory ,Shashi Ranjan Kumar
AE 312,Aerodynamics Laboratory ,Vineeth Nair
AE 314,Aircraft Structures Laboratory ,
AE 316,Aircraft Propulsion Laboratory ,Nagendra  Kumar
AE 326,Vibrations and Structural Dynamics ,Abhijit  Gogulapati
AE 329,Propulsion ,
AE 330,Aerospace Propulsion ,
AE 332,Aircraft Design ,
AE 333,Aerodynamics ,
AE 339,High Speed Aerodynamics ,Vineeth Nair
AE 341,Flight Mechanics of Aircrafts and Spacecrafts ,Abhijit  GogulapatiP. Ramachandran
AE 343,Aerodynamics Laboratory ,Aniruddha SinhaVineeth NairViren Menezes
AE 344,Aero Propulsion ,Krishnendu SinhaNagendra  Kumar
AE 345,Aircraft Propulsion Laboratory ,Nagendra  Kumar
AE 402,Smart Materials and Structures ,
AE 407,Modelling and Simulation ,Arya HemendraHarshad  Khadilkar
AE 410,Navigation and Guidance ,Arnab Maity
AE 411,Control Systems Laboratory ,
AE 427,Control Systems Laboratory ,
AE 484,Finite Element Method ,
AE 593,Dual Degree Project I ,
AE 604,Advanced Topics in Aerospace Structures ,
AE 605,Mini Project ,
AE 607,Aerospace Propulsion Laboratory ,
AE 611,Aerodynamics Lab ,
AE 616,Gas Dynamics ,Aniruddha Sinha
AE 617,Numerical Methods for Conservation Laws ,
AE 619,Non-linear Systems Analysis ,
AE 621,Inelasticity Theory ,
AE 622,Computing of High Speed Flows ,
AE 623,Computing  of Turbulent Flows ,
AE 624,Hypersonic Flow Theory ,
AE 625,Particle Methods for Fluid Flow Simulation ,
AE 626,Spacecraft Attitude Dynamics and Control ,
AE 639,Continuum Mechanics ,
AE 641,Introduction to Navigation and Guidance ,Arnab Maity
AE 643,Durability and Reliability Analysis in Design ,
AE 644,Application of Optimisation - Laboratory ,
AE 647,Plasma Physics for Engineers ,Kowsik V R Bodi
AE 648,Energy Methods in Structural Mechanics ,
AE 649,Finite Element Method ,P J Guruprasad
AE 650,Mini Project ,Abhijit  GogulapatiHrishikesh Gadgil
AE 651,Aerodynamics of Compressors and Turbines ,
AE 653,Engineering Mathematics ,
AE 656,Aviation Fuels and their Combustion ,
AE 658,Design of Powerplants for Aircraft ,
AE 660,Interfacial Phenomena in Liquid Atomization ,
AE 662,Applied Optimal Control ,
AE 663,Software Development Techniques for Engineering and Scientists ,
AE 664,Lighter-Than-Air Systems ,
