CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
AE 152,Introduction to Aerospace Engg.,6,equivalent,AE 153 OR AE 705,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 153,Introduction to Aerospace Engg.,6,equivalent,AE 152 OR AE 705,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 225,Incompressible Fluid Mechanics,6,equivalent,ME 219,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 233,Control Systems Laboratory,3,prerequiste,AE 308,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 234,Aircraft Propulsion,6,equivalent,AE 711,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 234,Aircraft Propulsion,6,prerequiste,AE 223 OR ME 209,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 236,Compressible Fluid Mechanics,6,equivalent,AE 616,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 236,Compressible Fluid Mechanics,6,prerequiste,AE 225 OR ME 219,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 238,Aerospace Structural Mechanics,6,prerequiste,AE 227 OR ME 201 OR ME 223,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 248,AI and Data Science,6,equivalent,AE 102,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 305,Flight Mechanics II,6,prerequiste,AE 152 OR AE 153 OR AE 705,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 305,Flight Mechanics II,6,equivalent,AE 717,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 308,Control Theory,6,equivalent,AE 775 OR AE 302,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 312,Aerodynamics Laboratory,5,prerequiste,AE 225 AND AE 236 AND AE 333,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 314,Aircraft Structures Laboratory,5,prerequiste,( AE 227 OR ME 201 ) AND AE 238,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 316,Aircraft Propulsion Laboratory,5,prerequiste,( AE 225 OR ME 219 ) AND AE 234,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 320,Computational Fluid Dynamics,6,prerequiste,( AE 225 OR ME 219 ) AND AE 236,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 326,Vibrations and Structural Dynamics,6,prerequiste,AE 227 OR ME 201 OR MM 203,Other than Self Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 326,Vibrations and Structural Dynamics,6,equivalent,AE 715,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 330,Aerospace Propulsion,6,prerequiste,AE 223 AND AE 236,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 330,Aerospace Propulsion,6,equivalent,AE 708,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 332,Aircraft Design,6,equivalent,AE 714,All Department,"- B.Tech.
- Dual Degree Programme
- M.Tech
",Not Required,,
AE 332,Aircraft Design,6,prerequiste,AE 152 OR AE 153 OR AE 705,All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
AE 333,Aerodynamics,6,prerequiste,( AE 152 OR AE 153 OR AE 705 ) AND ( AE 225 OR ME 219 ),All Department,"- B.Tech.
- Dual Degree Programme
",Not Required,,
